player_id,player_url,player_position,wage,height_cm,weight_kg,bmi,player_age,league_country,final_year_contract,nationality,preferred_foot,body_type,attack_work_rate,defence_work_rate,pace,shooting,passing,dribbling,defending,physic,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_jumping,power_stamina,power_strength,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,minutes_per_match,games_missed,injury,injury_category
272783,https://www.transfermarkt.com/arthur-atta/profil/spieler/855308,Centre-Midfield,2000,189,77,21.56,20,France,No,France,Right,Lean,Medium,Medium,70,49,56,62,56,67,67,73,68,61,68,68,63,70,65,56,64,61,43,60,45.13,0,none,Low-risk
229904,https://www.transfermarkt.com/eslem-ozturk/profil/spieler/336248,Centre-Midfield,3000,177,69,22.02,25,Türkiye,No,Türkiye,Right,Normal,Medium,Medium,63,61,65,66,62,58,67,59,76,63,69,63,53,57,66,62,59,61,60,54,19.38,0,none,Low-risk
271063,https://www.transfermarkt.com/oliver-arblaster/profil/spieler/874066,Centre-Midfield,3000,178,73,23.04,19,England,Yes,England,Right,Lean,Medium,Medium,65,50,60,61,53,66,67,64,63,58,67,67,66,69,60,53,57,62,48,43,78.83,0,none,Low-risk
18115,https://www.transfermarkt.com/ruben-fernandes/profil/spieler/27178,Centre-Back,5000,187,81,23.16,37,Portugal,Yes,Portugal,Left,Normal,Low,High,54,51,57,56,73,75,51,56,60,69,55,71,80,75,68,73,40,55,65,71,87.28,0,none,Low-risk
266545,https://www.transfermarkt.com/alex-greive/profil/spieler/835410,Attacker,2000,178,73,23.04,24,Scotland,Yes,New Zealand,Right,Lean,High,Medium,78,62,50,63,18,58,77,79,65,60,68,72,69,59,40,10,60,54,59,57,26.82,0,none,Low-risk
251201,https://www.transfermarkt.com/kristian-arnstad/profil/spieler/581106,Centre-Midfield,4000,175,67,21.88,19,Belgium,No,Norway,Right,Normal,Medium,Medium,68,56,65,70,60,64,73,63,80,64,86,53,67,58,76,66,53,67,46,63,48.73,0,none,Low-risk
211820,https://www.transfermarkt.com/phil-ofosu-ayeh/profil/spieler/133858,Fullback,1000,181,81,24.72,32,Sweden,Yes,Ghana,Right,Normal,Medium,Medium,75,45,55,63,61,68,73,76,65,55,66,74,61,73,62,55,54,52,40,60,88.06,0,none,Low-risk
230143,https://www.transfermarkt.com/kastriot-dermaku/profil/spieler/163647,Centre-Back,6000,194,89,23.65,31,Italy,Yes,Albania,Left,Normal,Medium,Medium,33,38,47,45,67,74,33,33,55,64,64,79,52,87,68,64,40,38,47,64,0,22,Cruciate ligament injury,High-risk
258966,https://www.transfermarkt.com/andrea-cambiaso/profil/spieler/459658,Fullback,54000,183,72,21.5,23,Italy,No,Italy,Left,Lean,Medium,Medium,75,54,70,74,69,60,73,77,72,71,70,61,68,52,69,70,65,67,46,67,69.82,0,none,Low-risk
245371,https://www.transfermarkt.com/thiago-almada/profil/spieler/576028,Centre-Midfield,10000,171,62,21.2,23,United States,No,Argentina,Right,Normal,High,Low,86,74,75,83,51,62,91,81,92,74,93,57,75,55,64,58,78,76,75,81,81.94,2,Calf injury,Low-risk
258289,https://www.transfermarkt.com/juan-sforza/profil/spieler/659264,Centre-Midfield,6000,180,76,23.46,22,Brazil,Yes,Argentina,Left,Lean,Medium,Medium,71,60,69,69,63,70,74,68,64,71,70,69,79,63,74,65,58,65,49,68,47.05,0,none,Low-risk
274563,https://www.transfermarkt.com/hussayn-touati/profil/spieler/618487,Attacker,4000,176,76,24.54,21,Switzerland,No,Algeria,Left,Normal,High,Medium,79,60,61,71,30,60,81,78,80,53,81,64,74,58,46,27,59,58,56,62,21.92,0,none,Low-risk
200954,https://www.transfermarkt.com/denis-thomalla/profil/spieler/94030,Centre-Midfield,14000,186,75,21.68,30,Germany,No,Germany,Right,Lean,Medium,Medium,63,68,65,69,38,67,68,59,68,70,63,71,84,64,53,38,72,68,57,69,24.09,0,none,Low-risk
273613,https://www.transfermarkt.com/albin-ahlstrand/profil/spieler/688012,Centre-Midfield,500,184,64,18.9,20,Sweden,Yes,Sweden,Right,Normal,Medium,Medium,63,47,51,55,38,46,62,64,64,42,50,42,41,50,43,34,54,52,42,54,39.15,0,none,Low-risk
269292,https://www.transfermarkt.com/gianluca-prestianni/profil/spieler/1000674,Attacker,1000,165,63,23.14,17,Portugal,Yes,Argentina,Right,Normal,High,Low,88,60,62,77,35,46,91,85,92,62,93,47,63,33,55,53,61,65,61,64,3,0,none,Low-risk
257368,https://www.transfermarkt.com/lorenzo-pirola/profil/spieler/487834,Centre-Back,13000,185,79,23.08,21,Italy,No,Italy,Left,Normal,Medium,High,64,42,52,58,72,68,59,68,61,68,63,77,55,74,67,67,33,40,47,60,72.86,10,"Thigh problems,Hamstring muscle injury,muscular problems",High-risk
235526,https://www.transfermarkt.com/dennis-geiger/profil/spieler/251309,Centre-Midfield,27000,173,67,22.39,25,Germany,No,Germany,Right,Unique,Medium,High,46,53,76,79,63,62,56,38,85,79,83,42,78,49,81,69,59,79,40,74,20.67,31,"muscular problems,Hamstring injury,Fitness,Muscle injury",High-risk
271370,https://www.transfermarkt.com/berke-onde/profil/spieler/461954,Attacker,2000,196,80,20.82,23,Türkiye,No,Türkiye,Right,Lean,Medium,Low,54,63,40,53,28,69,51,57,55,50,34,80,56,81,53,18,61,47,66,50,0,0,none,Low-risk
209780,https://www.transfermarkt.com/siebe-schrijvers/profil/spieler/208552,Centre-Midfield,11000,180,67,20.68,26,Belgium,No,Belgium,Right,Lean,High,Medium,64,72,72,73,62,63,68,61,78,71,73,66,71,57,67,64,75,74,68,77,83.59,0,none,Low-risk
277935,https://www.transfermarkt.com/fode-sylla/profil/spieler/955359,Centre-Midfield,750,186,75,21.68,17,France,No,France,Right,Lean,Medium,Medium,57,51,61,60,60,66,51,62,58,58,49,65,57,70,65,60,57,61,50,59,0,0,none,Low-risk
237942,https://www.transfermarkt.com/pervis-estupinan/profil/spieler/349599,Fullback,77000,175,78,25.47,25,England,No,Ecuador,Left,Normal,High,Medium,77,47,71,76,77,75,78,77,74,74,73,84,76,73,74,76,64,60,69,69,66.04,27,"Muscle injury,Muscle injury,Muscle injury",High-risk
240699,https://www.transfermarkt.com/nicolas-de-la-cruz/profil/spieler/397458,Centre-Midfield,22000,167,65,23.31,27,Brazil,No,Uruguay,Right,Normal,High,High,85,76,77,82,70,67,87,83,92,78,85,74,86,52,78,70,80,78,69,80,74.96,0,none,Low-risk
213120,https://www.transfermarkt.com/conor-wilkinson/profil/spieler/228791,Attacker,2000,191,77,21.11,28,Scotland,No,Ireland,Left,Lean,High,Medium,72,63,56,61,32,70,71,73,61,58,53,74,69,72,67,23,60,58,63,61,52.32,7,"Knee injury,muscle stiffness",High-risk
263628,https://www.transfermarkt.com/fernando-alvarez/profil/spieler/911337,Centre-Back,700,186,81,23.41,20,United States,No,Colombia,Left,Normal,Medium,Medium,67,34,43,44,60,68,68,67,54,54,53,71,67,72,57,60,23,30,50,55,75.12,0,none,Low-risk
210790,https://www.transfermarkt.com/ali-al-zubaidi/profil/spieler/193155,Fullback,4000,180,80,24.69,30,Saudi Arabia,No,Saudi Arabia,Right,Stocky,Medium,Low,69,49,54,55,54,73,67,70,64,55,68,78,60,81,70,51,41,43,51,45,38.09,0,none,Low-risk
267864,https://www.transfermarkt.com/bernhard-zimmermann/profil/spieler/488073,Attacker,6000,179,77,24.03,21,Austria,Yes,Austria,Right,Normal,Medium,Medium,72,68,56,67,31,76,73,71,78,57,76,78,77,75,75,22,67,58,64,59,36.5,0,none,Low-risk
209316,https://www.transfermarkt.com/thom-haye/profil/spieler/178219,Centre-Midfield,7000,177,74,23.62,28,Netherlands,Yes,Indonesia,Right,Normal,Low,Medium,56,63,77,72,57,64,55,57,74,68,73,50,72,59,68,58,61,75,51,70,82.15,0,none,Low-risk
260236,https://www.transfermarkt.com/dorgeles-nene/profil/spieler/671591,Attacker,6000,174,65,21.47,20,Austria,No,Mali,Left,Normal,Medium,Medium,85,70,61,72,37,54,86,85,88,62,85,61,65,48,52,27,66,64,61,64,33.71,8,"Ankle injury,Ankle injury",High-risk
243544,https://www.transfermarkt.com/adalberto-carrasquilla/profil/spieler/375300,Centre-Midfield,5000,170,64,22.15,25,United States,Yes,Panama,Right,Normal,High,Medium,73,61,65,78,59,69,75,72,83,71,84,64,80,63,73,64,70,68,51,73,84.71,0,none,Low-risk
211067,https://www.transfermarkt.com/dario-del-fabro/profil/spieler/110475,Centre-Back,2000,190,83,22.99,28,Switzerland,No,Italy,Right,Normal,Medium,Medium,61,44,44,51,64,67,58,64,54,50,65,71,54,72,70,60,32,40,38,58,79.81,0,none,Low-risk
197242,https://www.transfermarkt.com/grzegorz-krychowiak/profil/spieler/45184,Centre-Midfield,13000,186,79,22.84,33,Saudi Arabia,Yes,Poland,Right,Normal,High,High,41,73,69,66,73,80,42,41,34,74,50,68,76,84,80,73,68,69,75,78,81.61,0,none,Low-risk
255565,https://www.transfermarkt.com/kaoru-mitoma/profil/spieler/504849,Attacker,88000,178,71,22.41,26,England,No,Japan,Right,Lean,Medium,Medium,84,73,74,85,57,65,89,79,89,75,78,73,75,62,58,57,75,80,63,77,79.5,8,Ankle injury,High-risk
278033,https://www.transfermarkt.com/stefan-lekovic/profil/spieler/797572,Centre-Back,650,192,81,21.97,19,Spain,No,Serbia,Right,Lean,Medium,Medium,60,33,43,37,58,63,59,60,57,52,47,69,60,65,59,55,24,36,35,44,35.5,0,none,Low-risk
244727,https://www.transfermarkt.com/leandre-tawamba/profil/spieler/242564,Attacker,17000,187,95,27.17,33,Saudi Arabia,Yes,Cameroon,Right,Stocky,High,Low,61,72,56,66,24,81,54,66,58,65,33,83,78,92,59,16,76,66,69,76,89.25,0,none,Low-risk
235450,https://www.transfermarkt.com/domingos-quina/profil/spieler/391719,Centre-Midfield,5000,173,66,22.05,23,Italy,No,Portugal,Right,Lean,Medium,Medium,68,66,65,71,44,47,69,67,76,62,82,38,58,34,69,46,63,66,48,62,22,1,Adductor injury,Low-risk
211381,https://www.transfermarkt.com/sofiane-boufal/profil/spieler/232271,Attacker,14439,175,67,21.88,29,Qatar,No,Morocco,Right,Lean,Medium,Low,79,71,75,82,30,57,81,77,86,69,84,61,60,57,51,23,76,79,72,73,50,0,none,Low-risk
254154,https://www.transfermarkt.com/casey-walls/profil/spieler/724440,Centre-Back,850,188,77,21.79,21,United States,No,United States,Left,Lean,Medium,Medium,46,25,40,36,56,57,51,41,47,38,32,56,51,63,49,60,27,36,33,37,0,0,none,Low-risk
263786,https://www.transfermarkt.com/nicholas-pennington/profil/spieler/373898,Centre-Midfield,800,182,77,23.25,24,Australia,Yes,Australia,Right,Normal,Medium,High,56,51,57,56,59,67,60,52,54,57,49,60,75,64,65,65,60,61,48,56,71.8,3,Ankle injury,Low-risk
237524,https://www.transfermarkt.com/sory-kaba/profil/spieler/355689,Attacker,13000,191,80,21.93,27,Spain,No,Guinea,Right,Normal,Medium,Low,63,68,59,66,31,80,62,63,55,67,58,81,70,90,67,25,70,69,65,65,48.75,0,none,Low-risk
272663,https://www.transfermarkt.com/sota-kitahara/profil/spieler/709180,Centre-Midfield,850,175,66,21.55,21,United States,Yes,United States,Right,Normal,Medium,High,64,40,53,56,48,50,63,64,64,59,73,40,54,49,50,48,51,51,39,55,60.33,0,none,Low-risk
239558,https://www.transfermarkt.com/godfried-roemeratoe/profil/spieler/393241,Centre-Midfield,2000,178,74,23.36,23,Netherlands,No,Curacao,Right,Normal,Medium,High,70,44,59,62,64,72,69,71,69,63,70,73,74,71,72,62,51,57,51,63,80.66,0,none,Low-risk
270980,https://www.transfermarkt.com/darijo-grujcic/profil/spieler/307769,Centre-Back,2000,188,85,24.05,24,Austria,Yes,Austria,Left,Normal,Medium,Medium,64,23,42,46,65,76,67,61,64,60,47,80,70,81,68,62,27,41,34,55,75.68,5,Hamstring injury,Low-risk
264463,https://www.transfermarkt.com/alisson-safira/profil/spieler/443338,Attacker,6000,185,75,21.91,28,Portugal,No,Brazil,Right,Normal,Medium,Low,67,70,51,64,25,65,68,66,58,71,60,76,72,65,51,31,67,51,72,58,22.45,0,none,Low-risk
224537,https://www.transfermarkt.com/iago-santos/profil/spieler/332220,Centre-Back,19000,188,85,24.05,31,Saudi Arabia,Yes,Brazil,Right,Normal,Low,High,37,30,51,50,70,82,36,37,47,69,47,84,75,88,77,70,38,36,45,57,90.38,0,none,Low-risk
234856,https://www.transfermarkt.com/houboulang-mendes/profil/spieler/442552,Fullback,14000,184,76,22.45,25,Spain,No,Guinea-Bissau,Right,Lean,High,Medium,72,42,61,64,70,72,68,76,58,58,58,82,64,78,66,69,48,50,42,53,59,0,none,Low-risk
213614,https://www.transfermarkt.com/samuel-gustafson/profil/spieler/255473,Centre-Midfield,8000,186,80,23.12,29,Sweden,No,Sweden,Right,Lean,Medium,Low,61,59,76,72,69,72,64,58,75,77,64,63,81,70,66,71,65,79,48,78,91.5,4,Knee injury,Low-risk
265465,https://www.transfermarkt.com/matej-maglica/profil/spieler/433388,Centre-Back,11000,198,99,25.25,24,Germany,Yes,Croatia,Left,Normal,Low,Medium,38,50,46,44,68,82,35,40,35,68,32,77,66,92,78,65,33,29,64,54,63.52,0,none,Low-risk
270039,https://www.transfermarkt.com/diego-moreira/profil/spieler/655006,Attacker,10000,179,73,22.78,18,England,Yes,Portugal,Left,Normal,High,Low,86,58,56,75,31,66,87,86,83,70,81,66,71,64,63,22,51,58,61,72,45,0,none,Low-risk
259633,https://www.transfermarkt.com/giannis-konstantelias/profil/spieler/628331,Centre-Midfield,600,178,65,20.52,20,Greece,No,Greece,Right,Lean,High,Medium,75,61,68,76,37,54,77,74,80,68,84,53,68,44,63,32,64,69,63,71,62.42,0,none,Low-risk
239278,https://www.transfermarkt.com/jonathan-svedberg/profil/spieler/430976,Centre-Midfield,800,178,73,23.04,25,Sweden,Yes,Sweden,Right,Lean,Medium,Medium,66,46,60,63,59,62,67,66,65,62,69,57,62,59,70,64,55,58,40,59,80.06,0,none,Low-risk
