season,name,position,team,location_x,kickoff_time,minutes,opp_team_name,location,was_home,area,mins_prev_match,duration,kickoff_date,temperature,humidity,elevation,injured
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-12-05 19:45:00+00:00,0,Burnley,Burnley,FALSE,Burnley,90,3,05/12/2018,2.73,99,117.06,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-12-08 12:30:00+00:00,90,Bournemouth,Bournemouth,FALSE,Bournemouth,0,2,08/12/2018,9.73,81,9.76,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-12-16 16:00:00+00:00,90,Man Utd,Manchester,TRUE,Liverpool,90,8,16/12/2018,8.19,76,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-12-21 20:00:00+00:00,90,Wolves,Wolverhampton,FALSE,Wolverhampton,90,5,21/12/2018,6.97,92,156.19,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-12-26 15:00:00+00:00,81,Newcastle,Newcastle upon Tyne,TRUE,Liverpool,90,4,26/12/2018,8.89,84,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2018-12-29 17:30:00+00:00,82,Arsenal,London,TRUE,Liverpool,81,3,29/12/2018,10.64,79,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-01-03 20:00:00+00:00,90,Man City,Manchester,FALSE,Manchester,82,5,03/01/2019,3.47,81,52.86,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-01-12 15:00:00+00:00,90,Brighton,Brighton,FALSE,Brighton,90,8,12/01/2019,5,82,15.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-01-19 15:00:00+00:00,90,Crystal Palace,London,TRUE,Liverpool,90,7,19/01/2019,2.22,77,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-01-30 20:00:00+00:00,90,Leicester,Leicester,TRUE,Liverpool,90,11,30/01/2019,1.47,80,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-02-04 20:00:00+00:00,90,West Ham,London,FALSE,London,90,5,04/02/2019,6.5,81,7.55,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-02-09 15:00:00+00:00,90,Bournemouth,Bournemouth,TRUE,Liverpool,90,4,09/02/2019,6.99,65,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-02-24 14:05:00+00:00,90,Man Utd,Manchester,FALSE,Manchester,90,14,24/02/2019,8.51,90,52.86,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-02-27 20:00:00+00:00,90,Watford,Watford,TRUE,Liverpool,90,3,27/02/2019,8.74,64,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-03-03 16:15:00+00:00,90,Everton,Liverpool,FALSE,Liverpool,90,3,03/03/2019,8.47,66,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-03-10 12:00:00+00:00,90,Burnley,Burnley,TRUE,Liverpool,90,6,10/03/2019,5.65,74,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-03-17 14:15:00+00:00,90,Fulham,London,FALSE,London,90,7,17/03/2019,8.21,87,7.55,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-03-31 15:30:00+00:00,90,Spurs,London,TRUE,Liverpool,90,14,31/03/2019,8.25,82,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-04-05 19:00:00+00:00,90,Southampton,Southampton,FALSE,Southampton,90,5,05/04/2019,7.29,65,11.03,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-04-14 15:30:00+00:00,90,Chelsea,London,TRUE,Liverpool,90,8,14/04/2019,3.55,68,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-04-21 15:00:00+00:00,90,Cardiff,Cardiff,FALSE,Cardiff,90,6,21/04/2019,10.78,75,12.04,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-04-26 19:00:00+00:00,90,Huddersfield,Huddersfield,TRUE,Liverpool,90,5,26/04/2019,8.77,75,14.48,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-05-04 18:45:00+00:00,90,Newcastle,Newcastle upon Tyne,FALSE,Newcastle upon Tyne,90,7,04/05/2019,2.37,90,44.76,no
2018-2019,Andrew Robertson,DEF,Liverpool,Liverpool,2019-05-12 14:00:00+00:00,83,Wolves,Wolverhampton,TRUE,Liverpool,90,7,12/05/2019,8.23,77,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-08-09 19:00:00+00:00,90,Norwich,Norwich,TRUE,Liverpool,0,0,09/08/2019,18.97,67,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-08-17 14:00:00+00:00,90,Southampton,Southampton,FALSE,Southampton,90,7,17/08/2019,16.81,79,11.03,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-08-24 16:30:00+00:00,90,Arsenal,London,TRUE,Liverpool,90,7,24/08/2019,16.46,79,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-08-31 16:30:00+00:00,90,Burnley,Burnley,FALSE,Burnley,90,7,31/08/2019,16.28,84,117.06,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-09-14 11:30:00+00:00,90,Newcastle,Newcastle upon Tyne,TRUE,Liverpool,90,13,14/09/2019,10.2,80,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-09-22 15:30:00+00:00,90,Chelsea,London,FALSE,London,90,8,22/09/2019,17.26,77,7.55,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-09-28 11:30:00+00:00,90,Sheffield Utd,Sheffield,FALSE,Sheffield,90,5,28/09/2019,10.55,93,81.19,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-10-05 14:00:00+00:00,90,Leicester,Leicester,TRUE,Liverpool,90,7,05/10/2019,10.97,83,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-10-20 15:30:00+00:00,90,Man Utd,Manchester,FALSE,Manchester,90,15,20/10/2019,8.76,88,52.86,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-10-27 16:30:00+00:00,90,Spurs,London,TRUE,Liverpool,90,7,27/10/2019,8.06,69,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-11-02 15:00:00+00:00,90,Aston Villa,Birmingham,FALSE,Birmingham,90,5,02/11/2019,12.46,94,138.25,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-11-10 16:30:00+00:00,90,Man City,Manchester,TRUE,Liverpool,90,8,10/11/2019,3.39,82,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-11-23 15:00:00+00:00,90,Crystal Palace,London,FALSE,London,90,12,23/11/2019,8.36,85,7.55,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-11-30 15:00:00+00:00,90,Brighton,Brighton,TRUE,Liverpool,90,7,30/11/2019,-0.14,84,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-12-04 20:15:00+00:00,90,Everton,Liverpool,TRUE,Liverpool,90,4,04/12/2019,5.53,81,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-12-07 15:00:00+00:00,75,Bournemouth,Bournemouth,FALSE,Bournemouth,90,2,07/12/2019,9.29,88,9.76,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-12-14 12:30:00+00:00,31,Watford,Watford,TRUE,Liverpool,75,6,14/12/2019,5.87,80,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-12-26 20:00:00+00:00,90,Leicester,Leicester,FALSE,Leicester,31,12,26/12/2019,1.96,77,61.31,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2019-12-29 16:30:00+00:00,90,Wolves,Wolverhampton,TRUE,Liverpool,90,2,29/12/2019,7.98,85,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-01-02 20:00:00+00:00,87,Sheffield Utd,Sheffield,TRUE,Liverpool,90,4,02/01/2020,6.3,85,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-01-11 17:30:00+00:00,90,Spurs,London,FALSE,London,87,8,11/01/2020,6.39,79,7.55,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-01-19 16:30:00+00:00,90,Man Utd,Manchester,TRUE,Liverpool,90,7,19/01/2020,3.92,71,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-01-23 20:00:00+00:00,90,Wolves,Wolverhampton,FALSE,Wolverhampton,90,4,23/01/2020,6.41,98,156.19,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-01-29 19:45:00+00:00,90,West Ham,London,FALSE,London,90,5,29/01/2020,3.51,79,7.55,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-02-01 15:00:00+00:00,90,Southampton,Southampton,TRUE,Liverpool,90,2,01/02/2020,10.72,73,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-02-15 17:30:00+00:00,90,Norwich,Norwich,FALSE,Norwich,90,14,15/02/2020,9.12,95,21.49,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-02-24 20:00:00+00:00,90,West Ham,London,TRUE,Liverpool,90,9,24/02/2020,4.94,73,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-02-29 17:30:00+00:00,90,Watford,Watford,FALSE,Watford,90,4,29/02/2020,10.58,93,72.69,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-03-07 12:30:00+00:00,0,Bournemouth,Bournemouth,TRUE,Liverpool,90,6,07/03/2020,5.2,75,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-06-21 18:00:00+00:00,0,Everton,Liverpool,FALSE,Liverpool,0,106,21/06/2020,16.35,73,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-06-24 19:15:00+00:00,83,Crystal Palace,London,TRUE,Liverpool,0,3,24/06/2020,16.45,82,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-07-02 19:15:00+00:00,90,Man City,Manchester,FALSE,Manchester,83,8,02/07/2020,13.59,95,52.86,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-07-05 15:30:00+00:00,90,Aston Villa,Birmingham,TRUE,Liverpool,90,2,05/07/2020,16.74,69,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-07-08 19:15:00+00:00,45,Brighton,Brighton,FALSE,Brighton,90,3,08/07/2020,15.31,87,15.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-07-11 14:00:00+00:00,90,Burnley,Burnley,TRUE,Liverpool,45,2,11/07/2020,13.31,75,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-07-15 19:15:00+00:00,90,Arsenal,London,FALSE,London,90,4,15/07/2020,16.3,63,7.55,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-07-22 19:15:00+00:00,90,Chelsea,London,TRUE,Liverpool,90,7,22/07/2020,14.44,76,14.48,no
2019-2020,Andrew Robertson,DEF,Liverpool,Liverpool,2020-07-26 15:00:00+00:00,90,Newcastle,Newcastle upon Tyne,FALSE,Newcastle upon Tyne,90,3,26/07/2020,13.23,84,44.76,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-09-12 16:30:00+00:00,90,Leeds,Leeds,TRUE,Liverpool,0,0,12/09/2020,13.65,85,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-09-20 15:30:00+00:00,90,Chelsea,London,FALSE,London,90,7,20/09/2020,16.14,76,7.55,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-09-28 19:00:00+00:00,90,Arsenal,London,TRUE,Liverpool,90,8,28/09/2020,7.95,85,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-10-04 18:15:00+00:00,90,Aston Villa,Birmingham,FALSE,Birmingham,90,5,04/10/2020,9.24,95,138.25,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-10-17 11:30:00+00:00,90,Everton,Liverpool,FALSE,Liverpool,90,12,17/10/2020,10.02,79,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-10-24 19:00:00+00:00,90,Sheffield Utd,Sheffield,TRUE,Liverpool,90,7,24/10/2020,7.49,80,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-10-31 17:30:00+00:00,90,West Ham,London,TRUE,Liverpool,90,6,31/10/2020,10.24,79,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-11-08 16:30:00+00:00,90,Man City,Manchester,FALSE,Manchester,90,7,08/11/2020,10.48,83,52.86,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-11-22 19:15:00+00:00,90,Leicester,Leicester,TRUE,Liverpool,90,14,22/11/2020,9.41,78,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-11-28 12:30:00+00:00,90,Brighton,Brighton,FALSE,Brighton,90,5,28/11/2020,8.63,95,15.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-12-06 19:15:00+00:00,90,Wolves,Wolverhampton,TRUE,Liverpool,90,8,06/12/2020,2.11,86,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-12-13 16:30:00+00:00,90,Fulham,London,FALSE,London,90,6,13/12/2020,3.82,88,7.55,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-12-16 20:00:00+00:00,90,Spurs,London,TRUE,Liverpool,90,3,16/12/2020,6.37,79,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-12-19 12:30:00+00:00,90,Crystal Palace,London,FALSE,London,90,2,19/12/2020,11.33,84,7.55,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-12-27 16:30:00+00:00,90,West Brom,West Bromwich,TRUE,Liverpool,90,8,27/12/2020,8.3,82,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2020-12-30 20:00:00+00:00,90,Newcastle,Newcastle upon Tyne,FALSE,Newcastle upon Tyne,90,3,30/12/2020,0.29,92,44.76,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-01-04 20:00:00+00:00,90,Southampton,Southampton,FALSE,Southampton,90,5,04/01/2021,2.89,73,11.03,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-01-17 16:30:00+00:00,90,Man Utd,Manchester,TRUE,Liverpool,90,12,17/01/2021,6.42,80,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-01-21 20:00:00+00:00,90,Burnley,Burnley,TRUE,Liverpool,90,4,21/01/2021,2.8,84,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-01-28 20:00:00+00:00,90,Spurs,London,FALSE,London,90,7,28/01/2021,8.73,92,7.55,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-01-31 16:30:00+00:00,90,West Ham,London,FALSE,London,90,2,31/01/2021,3.66,76,7.55,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-02-03 20:15:00+00:00,90,Brighton,Brighton,TRUE,Liverpool,90,3,03/02/2021,7.63,87,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-02-07 16:30:00+00:00,84,Man City,Manchester,TRUE,Liverpool,90,3,07/02/2021,2.77,80,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-02-13 12:30:00+00:00,90,Leicester,Leicester,FALSE,Leicester,84,5,13/02/2021,-2.53,74,61.31,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-02-20 17:30:00+00:00,90,Everton,Liverpool,TRUE,Liverpool,90,7,20/02/2021,10.23,81,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-02-28 19:15:00+00:00,90,Sheffield Utd,Sheffield,FALSE,Sheffield,90,8,28/02/2021,2.58,92,81.19,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-03-04 20:15:00+00:00,90,Chelsea,London,TRUE,Liverpool,90,4,04/03/2021,4.07,83,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-03-07 14:00:00+00:00,90,Fulham,London,TRUE,Liverpool,90,2,07/03/2021,0.25,75,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-03-15 20:00:00+00:00,90,Wolves,Wolverhampton,FALSE,Wolverhampton,90,8,15/03/2021,7.82,88,156.19,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-04-03 19:00:00+00:00,60,Arsenal,London,FALSE,London,90,18,03/04/2021,7.1,77,7.55,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-04-10 14:00:00+00:00,90,Aston Villa,Birmingham,TRUE,Liverpool,60,6,10/04/2021,4.64,67,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-04-19 19:00:00+00:00,90,Leeds,Leeds,FALSE,Leeds,90,9,19/04/2021,7.22,30,40.44,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-04-24 11:30:00+00:00,90,Newcastle,Newcastle upon Tyne,TRUE,Liverpool,90,4,24/04/2021,11.02,48,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-05-08 19:15:00+00:00,90,Southampton,Southampton,TRUE,Liverpool,90,14,08/05/2021,6.37,67,14.48,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-05-13 19:15:00+00:00,90,Man Utd,Manchester,FALSE,Manchester,90,5,13/05/2021,9.49,86,52.86,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-05-16 15:30:00+00:00,90,West Brom,West Bromwich,FALSE,West Bromwich,90,2,16/05/2021,8.5,90,166.57,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-05-19 19:15:00+00:00,90,Burnley,Burnley,FALSE,Burnley,90,3,19/05/2021,6.39,88,117.06,no
2020-2021,Andrew Robertson,DEF,Liverpool,Liverpool,2021-05-23 15:00:00+00:00,90,Crystal Palace,London,TRUE,Liverpool,90,3,23/05/2021,7.08,74,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-08-14 16:30:00+00:00,0,Norwich,Norwich,FALSE,Norwich,0,0,14/08/2021,17.6,74,21.49,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-08-21 11:30:00+00:00,0,Burnley,Burnley,TRUE,Liverpool,0,6,21/08/2021,17.44,82,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-08-28 16:30:00+00:00,85,Chelsea,London,TRUE,Liverpool,0,7,28/08/2021,13.8,76,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-09-12 15:30:00+00:00,90,Leeds,Leeds,FALSE,Leeds,85,14,12/09/2021,13.73,72,40.44,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-09-18 14:00:00+00:00,0,Crystal Palace,London,TRUE,Liverpool,90,5,18/09/2021,16.6,83,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-09-25 16:30:00+00:00,90,Brentford,London,FALSE,London,0,7,25/09/2021,16.75,90,7.55,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-10-03 15:30:00+00:00,90,Man City,Manchester,TRUE,Liverpool,90,7,03/10/2021,8.8,77,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-10-16 11:30:00+00:00,63,Watford,Watford,FALSE,Watford,90,12,16/10/2021,7.48,87,72.69,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-10-24 15:30:00+00:00,90,Man Utd,Manchester,FALSE,Manchester,63,8,24/10/2021,11.74,74,52.86,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-10-30 14:00:00+00:00,90,Brighton,Brighton,TRUE,Liverpool,90,5,30/10/2021,8.87,84,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-11-07 16:30:00+00:00,90,West Ham,London,FALSE,London,90,8,07/11/2021,12.04,89,7.55,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-11-20 17:30:00+00:00,0,Arsenal,London,TRUE,Liverpool,90,13,20/11/2021,10.57,84,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-11-27 15:00:00+00:00,90,Southampton,Southampton,TRUE,Liverpool,0,6,27/11/2021,4.32,81,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-12-01 20:15:00+00:00,90,Everton,Liverpool,FALSE,Liverpool,90,4,01/12/2021,9.32,89,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-12-04 15:00:00+00:00,90,Wolves,Wolverhampton,FALSE,Wolverhampton,90,2,04/12/2021,5.75,95,156.19,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-12-11 15:00:00+00:00,90,Aston Villa,Birmingham,TRUE,Liverpool,90,7,11/12/2021,5.41,87,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-12-16 20:00:00+00:00,90,Newcastle,Newcastle upon Tyne,TRUE,Liverpool,90,5,16/12/2021,7.79,71,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-12-19 16:30:00+00:00,76,Spurs,London,FALSE,London,90,2,19/12/2021,6.51,96,7.55,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2021-12-28 20:00:00+00:00,0,Leicester,Leicester,FALSE,Leicester,76,9,28/12/2021,9.75,97,61.31,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-01-02 16:30:00+00:00,0,Chelsea,London,FALSE,London,0,4,02/01/2022,13.13,91,7.55,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-01-16 14:00:00+00:00,90,Brentford,London,TRUE,Liverpool,0,13,16/01/2022,5.76,91,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-01-23 14:00:00+00:00,90,Crystal Palace,London,FALSE,London,90,7,23/01/2022,5.71,78,7.55,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-02-10 19:45:00+00:00,90,Leicester,Leicester,TRUE,Liverpool,90,18,10/02/2022,5.54,82,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-02-13 14:00:00+00:00,90,Burnley,Burnley,FALSE,Burnley,90,2,13/02/2022,7.34,97,117.06,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-02-19 15:00:00+00:00,0,Norwich,Norwich,TRUE,Liverpool,90,6,19/02/2022,4.61,75,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-02-23 19:45:00+00:00,90,Leeds,Leeds,TRUE,Liverpool,0,4,23/02/2022,6.71,77,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-03-05 17:30:00+00:00,90,West Ham,London,TRUE,Liverpool,90,9,05/03/2022,5.72,85,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-03-12 12:30:00+00:00,90,Brighton,Brighton,FALSE,Brighton,90,6,12/03/2022,9.12,87,15.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-03-16 20:15:00+00:00,90,Arsenal,London,FALSE,London,90,4,16/03/2022,9.32,86,7.55,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-04-02 11:30:00+00:00,90,Watford,Watford,TRUE,Liverpool,90,16,02/04/2022,4.79,73,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-04-10 15:30:00+00:00,90,Man City,Manchester,FALSE,Manchester,90,8,10/04/2022,2.05,81,52.86,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-04-19 19:00:00+00:00,90,Man Utd,Manchester,TRUE,Liverpool,90,9,19/04/2022,7.61,76,14.48,no
2021-2022,Andrew Robertson,DEF,Liverpool,Liverpool,2022-04-24 15:30:00+00:00,90,Everton,Liverpool,TRUE,Liverpool,90,4,24/04/2022,9.19,74,14.48,no
